DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Weapon Desc,LAT,LON,Closest Restaurant,Restaurant Address
10/29/2017,2315,Foothill,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.213,-118.3867,,
10/8/2017,1345,Rampart,THEFT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0439,-118.2752,,
10/19/2017,2345,Rampart,THEFT,,34.0878,-118.2822,,
10/2/2017,1430,Harbor,THEFT,,33.7839,-118.2391,,
10/24/2017,1324,Pacific,THEFT,,34.0284,-118.4048,,
10/11/2017,1,Northeast,ASSAULT,UNKNOWN WEAPON/OTHER WEAPON,34.1096,-118.2884,,
10/25/2017,2200,Wilshire,BURGLARY,,34.0574,-118.3535,,
10/27/2017,900,Foothill,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2215,-118.3736,,
10/25/2017,1900,Rampart,ASSAULT,HAND GUN,34.0685,-118.2775,,
10/15/2017,1800,N Hollywood,SHOPLIFTING,,34.1613,-118.4008,,
10/2/2017,1145,West Valley,BURGLARY,,34.1599,-118.4766,,
10/25/2017,1640,Harbor,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7657,-118.3108,,
10/18/2017,1520,Pacific,BIKE - STOLEN,,33.988,-118.4703,,
10/25/2017,1615,Northeast,VEHICLE,,34.0947,-118.2877,,
10/23/2017,2120,Mission,THEFT,,34.211999999999996,-118.4488,,
10/13/2017,1600,Hollenbeck,VEHICLE,,34.0443,-118.211,,
10/10/2017,1630,N Hollywood,DOCUMENT FORGERY / STOLEN FELONY,,34.1427,-118.4052,,
10/29/2017,930,Mission,TRESPASSING,,34.2337,-118.4632,,
10/7/2017,1600,Van Nuys,THEFT,,34.1666,-118.4138,,
10/17/2017,1415,Foothill,SHOPLIFTING,,34.2459,-118.4185,,
10/3/2017,1100,Van Nuys,VEHICLE,,34.2048,-118.4488,,
10/18/2017,2300,West Valley,THEFT,,34.1652,-118.5272,,
10/21/2017,2000,Northeast,THEFT,,34.1036,-118.2945,,
10/2/2017,2020,Pacific,THEFT,,33.9449,-118.4059,,
10/22/2017,5,N Hollywood,BURGLARY,,34.194,-118.3845,,
10/16/2017,1500,Pacific,VEHICLE,,34.0273,-118.4029,,
10/11/2017,1641,West Valley,SHOTS FIRED,HAND GUN,34.2012,-118.4815,,
10/17/2017,1430,Newton,CONTEMPT OF COURT,,34.0264,-118.2596,,
10/28/2017,1408,Wilshire,THEFT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0485,-118.3335,,
10/28/2017,1830,Mission,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2378,-118.4552,,
10/14/2017,1630,Harbor,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7886,-118.2793,,
10/21/2017,2200,Rampart,VEHICLE,,34.0558,-118.2609,,
10/16/2017,800,Van Nuys,CRIMINAL THREATS,VERBAL THREAT,34.2012,-118.44,,
10/10/2017,1135,Rampart,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0389,-118.2762,,
10/31/2017,715,Hollenbeck,VEHICLE,ROCK/THROWN OBJECT,34.0512,-118.2176,,
10/27/2017,745,Pacific,VEHICLE,,33.9782,-118.42200000000001,,
10/20/2017,2200,Devonshire,VANDALISM,,34.2504,-118.5178,,
